id_pair,tfidf_simil,genre_simil,age_simil,length_simil,collab_simil
"(0, 0)",1.0,1.0,1.0,1.0,1.0
"(0, 1)",0.0045623779296875,0.75244140625,1.0,1.0,0.39306640625
"(0, 2)",0.002201080322265625,0.57666015625,1.0,1.0,0.375
"(0, 3)",0.003528594970703125,0.75830078125,0.6666666666666667,1.0,0.1739501953125
"(0, 4)",0.0023746490478515625,0.75830078125,0.33333333333333337,0.5,0.11297607421875
"(0, 5)",0.00433349609375,0.73583984375,1.0,1.0,0.3291015625
"(0, 6)",0.002056121826171875,0.75244140625,0.6666666666666667,1.0,0.11602783203125
"(0, 7)",0.0036773681640625,0.736328125,0.6666666666666667,1.0,0.05999755859375
"(0, 8)",0.0016965866088867188,0.72216796875,1.0,0.5,0.1300048828125
"(0, 9)",0.002315521240234375,0.595703125,0.33333333333333337,1.0,0.10198974609375
"(0, 10)",0.0024738311767578125,0.75634765625,1.0,1.0,0.12298583984375
"(0, 11)",0.006000518798828125,0.7490234375,0.6666666666666667,1.0,-0.0010004043579101562
"(0, 12)",0.0037364959716796884,0.76025390625,0.6666666666666667,0.5,0.032989501953125
"(0, 13)",0.003009796142578125,0.6708984375,1.0,1.0,0.114013671875
"(0, 14)",0.41259765625,0.74462890625,1.0,1.0,0.388916015625
"(0, 15)",0.0019855499267578125,0.75244140625,1.0,1.0,0.1490478515625
"(0, 16)",0.0029621124267578125,0.7626953125,0.6666666666666667,1.0,0.10198974609375
"(0, 17)",0.407470703125,0.74462890625,1.0,1.0,0.37890625
"(0, 18)",0.00467681884765625,0.75244140625,1.0,1.0,0.1590576171875
"(0, 19)",0.0038967132568359375,0.74658203125,1.0,1.0,0.126953125
"(0, 20)",0.00516510009765625,0.0,1.0,0.5,0.135009765625
"(0, 21)",0.0023193359375,0.71337890625,1.0,1.0,0.0110015869140625
"(0, 22)",0.004001617431640625,0.75244140625,1.0,1.0,0.1619873046875
"(0, 23)",0.004253387451171875,0.75830078125,0.6666666666666667,1.0,0.032989501953125
"(0, 24)",0.0037326812744140642,0.0,0.0,1.0,0.040985107421875
"(0, 25)",0.0026073455810546875,0.72802734375,1.0,1.0,0.1529541015625
"(0, 26)",0.00228118896484375,0.75830078125,0.6666666666666667,0.5,0.0200042724609375
"(0, 27)",0.00748443603515625,0.72412109375,1.0,0.5,0.1280517578125
"(0, 28)",0.0034503936767578125,0.0,1.0,1.0,0.0999755859375
"(0, 29)",0.0026569366455078125,0.75341796875,1.0,1.0,-0.01200103759765625
"(0, 30)",0.007965087890625,0.7646484375,1.0,0.5,0.197998046875
